Input file size: 27196 bytes
Format verson: 0
Number of descriptors: 1272

42C2C 4*
40C2A-40C2 8 
26A2A-46A2 4 
5B2B 2 
41C2C-41C2 8*
8A2A-39A2 4 
8B2B 2 
42C2A-42C2 8 
1A2A-28A2-42A2 6 
1A2-28A2A-42A2 6 
40E2A 8 
48C2A-48C2 8 
20A2A-38C2 6 
41E2A 8 
5A2A-40A2-40A2 6 
42E2A 8 
8A2A-42C2 6 
48E2A 8 
12A2A-30A2-66A2-66A2 8 
12A2-30A2A-66A2-66A2 8 
12A2-30A2-66A2A-66A2 8 
41D2C 6*
12A2A-46D2 8 
1A2A-1A2-3A2-28A2 8 
1A2-1A2-3A2A-28A2 8 
1A2-1A2-3A2-28A2A 8 
1A2A-1A2-3A2-5A2 8 
1A2-1A2-3A2A-5A2 8 
1A2-1A2-3A2-5A2A 8 
1A2A-3A2-3A2-8A2 8 
1A2-3A2A-3A2-8A2 8 
1A2-3A2-3A2-8A2A 8 
1A2A-3A2-5A2-40A2 8 
1A2-3A2A-5A2-40A2 8 
1A2-3A2-5A2A-40A2 8 
1A2A-3A2-5A2-7A2 8 
1A2-3A2A-5A2-7A2 8 
1A2-3A2-5A2A-7A2 8 
1A2-3A2-5A2-7A2A 8 
1A2A-3A2-7A2-20A2 8 
1A2-3A2A-7A2-20A2 8 
1A2-3A2-7A2A-20A2 8 
1A2-3A2-7A2-20A2A 8 
1A2A-3A2-7A2-7A2 8 
1A2-3A2A-7A2-7A2 8 
1A2-3A2-7A2A-7A2 8 
1A2A-3A2-7A2-8A2 8 
1A2-3A2A-7A2-8A2 8 
1A2-3A2-7A2A-8A2 8 
1A2-3A2-7A2-8A2A 8 
1A2A-3A2-8A2-40A2 8 
1A2-3A2A-8A2-40A2 8 
1A2-3A2-8A2A-40A2 8 
1A2A-42D2 8 
1A2A-5A2-7A2-7A2 8 
1A2-5A2A-7A2-7A2 8 
1A2-5A2-7A2A-7A2 8 
28A2A-46D2 8 
2A2A-12A2-30A2-66A2 8 
2A2-12A2A-30A2-66A2 8 
2A2-12A2-30A2A-66A2 8 
2A2-12A2-30A2-66A2A 8 
2A2A-12A2-66A2-66A2 8 
2A2-12A2A-66A2-66A2 8 
2A2-12A2-66A2A-66A2 8 
2A2A-29A2-30A2-66A2 8 
2A2-29A2-30A2A-66A2 8 
2A2-29A2-30A2-66A2A 8 
2A2A-2A2-12A2-30A2 8 
2A2-2A2-12A2A-30A2 8 
2A2-2A2-12A2-30A2A 8 
2A2A-2A2-12A2-66A2 8 
2A2-2A2-12A2A-66A2 8 
2A2-2A2-12A2-66A2A 8 
2A2A-2A2-13A2-66A2 8 
2A2-2A2-13A2A-66A2 8 
2A2-2A2-13A2-66A2A 8 
2A2A-2A2-29A2-30A2 8 
2A2-2A2-29A2-30A2A 8 
2A2A-2A2-30A2-66A2 8 
2A2-2A2-30A2A-66A2 8 
2A2-2A2-30A2-66A2A 8 
